what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1348191503365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348191504819
error,log,,,"Failed to load properties file for project 'Capture From Above'",1348191616918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348191617525
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191618775
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191618892
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1348191645780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348191651714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348191652920
error,log,,,"Unhandled event loop exception",1348191653414
error,log,,,"Unhandled event loop exception",1348191653444
error,log,,,"Unhandled event loop exception",1348191653461
error,log,,,"Unhandled event loop exception",1348191653494
error,log,,,"Unhandled event loop exception",1348191653523
error,log,,,"Unhandled event loop exception",1348191653613
error,log,,,"Unhandled event loop exception",1348191654266
error,log,,,"Unhandled event loop exception",1348191654358
error,log,,,"Unhandled event loop exception",1348191654411
error,log,,,"Unhandled event loop exception",1348191654493
error,log,,,"Unhandled event loop exception",1348191654494
error,log,,,"Unhandled event loop exception",1348191655115
error,log,,,"Unhandled event loop exception",1348191655132
error,log,,,"Unhandled event loop exception",1348191655147
error,log,,,"Unhandled event loop exception",1348191655165
error,log,,,"Unhandled event loop exception",1348191655180
error,log,,,"Unhandled event loop exception",1348191655197
error,log,,,"Unhandled event loop exception",1348191655215
error,log,,,"Unhandled event loop exception",1348191655231
error,log,,,"Unhandled event loop exception",1348191655248
error,log,,,"Unhandled event loop exception",1348191655265
error,log,,,"Unhandled event loop exception",1348191655281
error,log,,,"Unhandled event loop exception",1348191655298
error,log,,,"Unhandled event loop exception",1348191655332
error,log,,,"Unhandled event loop exception",1348191655399
error,log,,,"Unhandled event loop exception",1348191655432
error,log,,,"Unhandled event loop exception",1348191655448
error,log,,,"Unhandled event loop exception",1348191655778
error,log,,,"Unhandled event loop exception",1348191656470
error,log,,,"Unhandled event loop exception",1348191656484
error,log,,,"Unhandled event loop exception",1348191656500
error,log,,,"Unhandled event loop exception",1348191656516
error,log,,,"Unhandled event loop exception",1348191656533
error,log,,,"Unhandled event loop exception",1348191656550
error,log,,,"Unhandled event loop exception",1348191656567
error,log,,,"Unhandled event loop exception",1348191656583
error,log,,,"Unhandled event loop exception",1348191656628
error,log,,,"Unhandled event loop exception",1348191656763
error,log,,,"Unhandled event loop exception",1348191657302
error,log,,,"Unhandled event loop exception",1348191657319
error,log,,,"Unhandled event loop exception",1348191657352
error,log,,,"Unhandled event loop exception",1348191657369
error,log,,,"Unhandled event loop exception",1348191657385
error,log,,,"Unhandled event loop exception",1348191657401
error,log,,,"Unhandled event loop exception",1348191657418
error,log,,,"Unhandled event loop exception",1348191657451
error,log,,,"Unhandled event loop exception",1348191657855
error,log,,,"Unhandled event loop exception",1348191657957
error,log,,,"Unhandled event loop exception",1348191658822
error,log,,,"Unhandled event loop exception",1348191658881
error,log,,,"Unhandled event loop exception",1348191658945
error,log,,,"Unhandled event loop exception",1348191659026
error,log,,,"Unhandled event loop exception",1348191659027
error,log,,,"Unhandled event loop exception",1348191659840
error,log,,,"Unhandled event loop exception",1348191659857
error,log,,,"Unhandled event loop exception",1348191659873
error,log,,,"Unhandled event loop exception",1348191659889
error,log,,,"Unhandled event loop exception",1348191659906
error,log,,,"Unhandled event loop exception",1348191659923
error,log,,,"Unhandled event loop exception",1348191659939
error,log,,,"Unhandled event loop exception",1348191659957
error,log,,,"Unhandled event loop exception",1348191659974
error,log,,,"Unhandled event loop exception",1348191659990
error,log,,,"Unhandled event loop exception",1348191660006
error,log,,,"Unhandled event loop exception",1348191660023
error,log,,,"Unhandled event loop exception",1348191660040
error,log,,,"Unhandled event loop exception",1348191660057
error,log,,,"Unhandled event loop exception",1348191660073
error,log,,,"Unhandled event loop exception",1348191660195
error,log,,,"Unhandled event loop exception",1348191661329
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191664475
error,log,,,"Unhandled event loop exception",1348191664605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348191669519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348191672108
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1348191673474
error,log,,,"Unhandled event loop exception",1348191674326
error,log,,,"Unhandled event loop exception",1348191675737
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348191679987
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191680724
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348191680726
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191682483
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191683666
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1348191685160
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191686587
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1348191687803
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191689072
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1348191706924
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1348191740432
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1348191745578
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1348191771278
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191772281
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191778380
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191778449
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191781158
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1348191811900
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1348191815264
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1348191818976
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1348191822139
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348191833262
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348191834428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348191837150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348191838563
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348191838935
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1348191839486
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1348191839487
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1348191839487
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1348191839487
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1348191839487
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1348191839487
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1348191839487
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1348191839487
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,20.0.3.v201208082019-427395,"overlay.com.android.ide.eclipse.adt.overlay",1348191839487
stopped,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1348191839487
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1348191839487
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1348191839487
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1348191839487
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1348191839487
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1348191839487
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1348191839487
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1348191839488
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1348191839488
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1348191839510
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1348191839510
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1348191839532
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1348191839532
stopped,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1348191839537
stopped,bundle,org.eclipse.ant.launching,1.0.100.v20110506,"org.eclipse.ant.launching",1348191839537
stopped,bundle,org.eclipse.egit.mylyn.ui,1.1.0.201109151100-r,"org.eclipse.egit.mylyn.ui",1348191839537
stopped,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1348191839537
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1348191839538
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1348191839538
